va  ia  nShaft  tauLoad
V  A  rpm  Nm
4.073  0.02864  301.9204851752  0.0011456
6.24  0.03623  495.6064690027  0.0014492
8.55  0.04587  698.5714285714  0.0018348
10.84  0.05164  898.1300539084  0.0020656
11.88  0.05092  995.2762803235  0.0020368
3.957  0.02768  298.4130727763  0.0011072
6.277  0.03633  499.0734501348  0.0014532
8.57  0.04365  701.1418463612  0.001746
10.74  0.04972  898.7496630728  0.0019888
11.9  0.05273  1001.1014150943  0.0021092
3.951  0.02797  299.4673180593  0.0011188
6.279  0.03652  499.6758760108  0.0014608
8.56  0.0456  701.1287061995  0.001824
10.71  0.04873  900.1556603774  0.0019492
11.82  0.05319  999.2840296496  0.0021276
3.935  0.02782  299.1812668464  0.0011128
6.247  0.03662  499.3564690027  0.0014648
8.57  0.04562  701.8160377358  0.0018248
10.79  0.05142  901.960916442  0.0020568
11.86  0.0523  999.4407008086  0.002092
3.996  0.0281  299.7169811321  0.001124
6.328  0.03609  500.0134770889  0.0014436
8.61  0.04517  698.692722372  0.0018068
10.9  0.05401  899.7068733154  0.0021604
11.94  0.05308  1000.4312668464  0.0021232
3.981  0.02891  299.1105121294  0.0011564
6.347  0.03765  501.4690026954  0.001506
8.62  0.0473  699.8652291105  0.001892
10.94  0.05616  902.7291105121  0.0022464
12  0.05537  1000.7142857143  0.0022148
3.976  0.02979  299.8787061995  0.0011916
6.326  0.03915  500.5087601078  0.001566
8.64  0.0495  700.4211590297  0.00198
10.95  0.05836  901.6071428571  0.0023344
12.01  0.05856  1002.5640161725  0.0023424
4.007  0.03027  300.7783018868  0.0012108
6.355  0.04102  499.6394878706  0.0016408
8.68  0.05246  699.3699460916  0.0020984
10.96  0.0602  900.1819407008  0.002408
12.16  0.0664  1002.7964959569  0.002656
3.927  0.02996  298.807277628  0.0011984
6.31  0.04093  497.9413746631  0.0016372
8.7  0.05016  703.0795148248  0.0020064
11.04  0.8926  901.6071428571  0.035704
12.17  0.0688  998.1772237197  0.002752
4.07  0.03128  299.4137466307  0.0012512
6.41  0.04337  495.2425876011  0.0017348
8.82  0.05615  702.442722372  0.002246
11.17  0.0672  904.2553908356  0.002688
12.31  0.0737  1000.4514824798  0.002948
4.047  0.03298  298.6152291105  0.0013192
6.517  0.04501  506.7351752022  0.0018004
8.87  0.05521  706.192722372  0.0022084
11.13  0.0686  897.0181940701  0.002744
12.3  0.0778  998.1165768194  0.003112
4.094  0.03398  300.2021563342  0.0013592
6.49  0.04656  502.429245283  0.0018624
8.81  0.05661  703.0795148248  0.0022644
11.24  0.0722  905.6199460916  0.002888
12.34  0.0792  996.5801886792  0.003168
4.092  0.03598  299.6967654987  0.0014392
6.45  0.04847  497.9716981132  0.0019388
8.82  0.05854  700.2088948787  0.0023416
11.22  0.0745  902.2035040431  0.00298
12.39  0.0817  997.9447439353  0.003268
4.214  0.04219  299.332884097  0.0016876
6.61  0.05591  499.2857142857  0.0022364
9.08  0.0714  704.403638814  0.002856
11.43  0.0882  903.3355795148  0.003528
12.56  0.0958  997.8335579515  0.003832
